gen,best_fit,median_fit,lap_med,avg_reset,avg_crash,avg_over,avg_cte,avg_off,sigma,elapsed_s
0,41.51,48.24,32.18,0.1,1.29,0.69,0.83,0.05,0.08,7134
1,43.87,59.49,32.36,0.0,1.96,1.404,1.315,0.058,0.08,14268
2,38.3,56.28,32.55,0.1,1.6,2.96,1.054,0.076,0.08,21403
