gen,best_fit,median_fit,avg_reset,avg_crash,avg_over,avg_cte,avg_off,sigma,elapsed_s
0,35.11,50.52,0.5,1.33,0.321,0.571,0.031,0.1,3732
1,44.99,72.75,1.3,1.81,1.844,0.796,0.071,0.1,7465
