gen,best_fit,median_fit,lap_med,avg_reset,avg_crash,avg_over,avg_cte,avg_off,sigma,elapsed_s
0,32.56,39.22,29.51,0.2,0.71,0.345,0.458,0.026,0.08,7134
1,32.03,42.57,29.57,0.2,0.8,0.318,0.564,0.036,0.08,14269
2,40.69,48.15,30.26,0.0,1.54,0.483,0.713,0.048,0.08,21404
3,35.47,43.47,29.54,0.0,1.28,0.303,0.586,0.038,0.08,28538
4,34.42,47.19,29.59,0.1,1.79,0.426,0.712,0.05,0.08,35673
5,31.04,90.0,29.43,0.25,0.72,0.186,0.468,0.023,0.08,42805
