gen,best_fit,median_fit,avg_reset,avg_crash,avg_over,avg_cte,avg_off,sigma,elapsed_s
0,36.62,54.16,0.9,0.99,0.174,0.557,0.034,0.08,3733
1,40.75,57.89,1.2,1.16,0.302,0.656,0.045,0.08,7465
2,48.25,67.66,1.2,1.73,0.449,0.814,0.052,0.08,11197
3,44.04,58.25,0.7,1.48,0.459,0.715,0.05,0.08,14930
