gen,best_fit,median_fit,avg_reset,avg_crash,avg_over,avg_cte,avg_off,sigma,elapsed_s
0,37.65,58.45,0.8,1.28,0.416,0.631,0.039,0.08,3735
1,35.12,56.78,1.2,1.24,0.456,0.617,0.043,0.08,7468
2,39.27,49.02,0.7,0.96,0.425,0.569,0.037,0.08,11200
3,39.57,51.68,0.8,1.02,0.467,0.634,0.046,0.08,14933
